question,human_response,House of Spencer_base_answer,House of Spencer_base_grade,House of Spencer_fine_tuned_answer,House of Spencer_fine_tuned_grade
¿Qué tipo de centro es House of Spencer?,"¡Hola! Gracias por contactarnos. 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️‍♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪",¡Hola! 😊 House of Spencer es un centro de entrenamiento especializado en mejorar la biomecánica y enseñar movimiento para evitar lesiones. Ofrecemos clases semi personalizadas y servicios de nutrición y masoterapia. 🏋️\u200d♀️ ¿Te gustaría saber más?,5,"¡Hola! 😊 Tenemos un espacio de entrenamiento en Providencia para ayudarte en tus objetivos. 🏋️\u200d♀️ Nuestra función es enseñar movimiento y mejorar tu biomecánica. De esta forma evitamos posibles lesiones y te ayudamos a conseguir tus objetivos alineando todos los componentes del fitness, entrenamiento y nutrición. 🍏💪 ¿Cómo puedo ayudarte hoy?",4
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?",5,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Necesitas más información?",5
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?",5,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Te gustaría saber los horarios específicos?",5
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestras clases?",5,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Te gustaría saber los horarios específicos?",5
¿Quiénes son los profes que hacen clases AM?,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las mañanas, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🏋️\u200d♂️ ¿Te gustaría saber más sobre nuestras clases?",5,"¡Hola! Durante las mañanas nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar los horarios, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃\u200d♂️ ¿Necesitas saber algo más?",5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Si necesitas más información, ¡hazmelo saber!",5,"¡Hola! 😊 Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana. ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24 ¿Puedo ayudarte con algo más?",5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 ¿Te gustaría saber más sobre nuestros horarios o servicios?",5,"¡Hola! 😊 Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana. ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24 ¿Puedo ayudarte con algo más?",5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 ¿Te gustaría más información sobre nuestras clases?",5,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana. ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24 ¿Necesitas ayuda con algo más?",5
¿Quiénes son los profes que hacen clases PM?,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana, pero en HOS siempre puedes contar con un profesional experto que estará disponible para ayudarte en tu camino del deporte y recuperación. 🏃‍♂️","¡Hola! 😊 Durante las tardes, nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Si necesitas más información, aquí estoy para ayudarte.",5,"¡Hola! Durante las tardes nuestros profes son Nicolás Spencer, Vane Jenkin, Rolo Flores, Fabián Vega y Tomás Paulsen. 🔥 Recuerda que nuestros profes pueden modificar sus horarios y estos varían de acuerdo al día de la semana. ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24 ¿Puedo ayudarte con algo más?",5
¿Dónde puedo pagar para las clases de entrenamiento funcional?,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Una vez registrada, busca nuestro centro y podrás gestionar tus clases fácilmente. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5
¿Dónde puedo pagar para las clases de entrenamiento funcional?,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Una vez registrada, busca nuestro centro y podrás gestionar tus clases fácilmente. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5
¿Dónde puedo pagar para las clases de entrenamiento funcional?,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Una vez registrada, busca nuestro centro y podrás gestionar tus clases fácilmente. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5
¿Dónde puedo pagar para las clases de entrenamiento funcional?,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Una vez registrada, busca nuestro centro y podrás gestionar tus clases fácilmente. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5,"¡Hola! 💪 Para pagar y agendar tus clases de entrenamiento funcional, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 ¿Necesitas ayuda con algo más?",5
¿Cómo me inscribo en las clases de entrenamiento funcional?,"¡Hola! Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Luego, busca nuestro centro y podrás agendar tus clases. 🏋️‍♀️ Si tienes alguna duda durante el proceso, estoy aquí para ayudarte.","¡Hola! 😊 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Busca nuestro centro y podrás agendar tus clases. Si necesitas ayuda, aquí estoy. ¡Saludos!",5,"¡Hola! 💪 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Si necesitas ayuda durante el proceso, estoy aquí para ayudarte. ¿Necesitas más información?",4
¿Cómo me inscribo en las clases de entrenamiento funcional?,"¡Hola! Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Luego, busca nuestro centro y podrás agendar tus clases. 🏋️‍♀️ Si tienes alguna duda durante el proceso, estoy aquí para ayudarte.","¡Hola! 😊 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Busca nuestro centro y podrás agendar tus clases. Si necesitas ayuda, estoy aquí para ayudarte. 💪",5,"¡Hola! 💪 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Si necesitas ayuda durante el proceso, estoy aquí para ayudarte. ¿Necesitas más información?",4
¿Cómo me inscribo en las clases de entrenamiento funcional?,"¡Hola! Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Luego, busca nuestro centro y podrás agendar tus clases. 🏋️‍♀️ Si tienes alguna duda durante el proceso, estoy aquí para ayudarte.","¡Hola! 😊 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Busca nuestro centro y podrás agendar tus clases. Si necesitas ayuda, aquí estoy. ¡Éxito! 💪",5,"¡Hola! 💪 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Si necesitas ayuda durante el proceso, estoy aquí para ayudarte. ¿Necesitas más información?",4
¿Cómo me inscribo en las clases de entrenamiento funcional?,"¡Hola! Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Luego, busca nuestro centro y podrás agendar tus clases. 🏋️‍♀️ Si tienes alguna duda durante el proceso, estoy aquí para ayudarte.","¡Hola! 😊 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Busca nuestro centro y podrás agendar tus clases. Si necesitas ayuda, aquí estoy. ¡Saludos! 💪",5,"¡Hola! 💪 Puedes inscribirte descargando la app BoxMagic en tu celular o visitando https://auth.boxmagic.cl/. 📲 Si necesitas ayuda durante el proceso, estoy aquí para ayudarte. ¿Necesitas algo más?",5
"Quiero empezar a entrenar con ustedes, ¿cómo agendo una clase?","¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.",¡Hola! 🎉 Puedes agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 ¿Necesitas más información?,5,"¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases. 💪 Si necesitas más información, no dudes en preguntar.",5
"Quiero empezar a entrenar con ustedes, ¿cómo agendo una clase?","¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.","¡Genial! 🎉 Puedes agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.",5,"¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases. 💪 Si necesitas más información, no dudes en preguntar.",5
"Quiero empezar a entrenar con ustedes, ¿cómo agendo una clase?","¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.","¡Genial! 🎉 Puedes agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.",5,"¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases. 💪 Si necesitas más información, no dudes en preguntar.",5
"Quiero empezar a entrenar con ustedes, ¿cómo agendo una clase?","¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.","¡Genial! 🎉 Puedes agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.",5,"¡Genial! 🎉 Agenda tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar tus clases de entrenamiento funcional. 💪 Si necesitas más información, no dudes en preguntar.",5
¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita este enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5
¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita este enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. 💳 ¿Puedo ayudarte con algo más?",5
¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita este enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5
¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?",5
"Estoy interesado en sus servicios de nutrición, ¿dónde puedo agendar y pagar?","¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊","¡Hola! 😊 Puedes agendar y pagar por nuestros servicios de nutrición aquí: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si necesitas más información, estoy aquí para ayudarte. 🍎",5,"¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si necesitas ayuda con algo más, no dudes en decirlo. 😊",5
"Estoy interesado en sus servicios de nutrición, ¿dónde puedo agendar y pagar?","¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊","¡Hola! 😊 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes más preguntas, aquí estoy para ayudarte. 🍎",5,"¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊",5
"Estoy interesado en sus servicios de nutrición, ¿dónde puedo agendar y pagar?","¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊","¡Hola! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊",5,"¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊",5
"Estoy interesado en sus servicios de nutrición, ¿dónde puedo agendar y pagar?","¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊","¡Hola! 😊 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 🍏",5,"¡Excelente! 🍎 Puedes agendar y pagar por nuestros servicios de nutrición a través de este enlace: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Si tienes alguna pregunta adicional, estoy aquí para ayudarte. 😊",5
¿Entregan un reporte por cada sesión para poder reembolsar a la Isapre?,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios puede te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?","¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios puede ayudarte a reembolsar. Si necesitas detallar el tipo de sesiones, contáctanos directamente a https://walink.co/83468b. 📝 ¿Te ayudo con algo más?",4,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?",4
¿Entregan un reporte por cada sesión para poder reembolsar a la Isapre?,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios puede te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?","¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Si necesitas más detalles para facilitar tu reembolso, contáctanos directamente a https://walink.co/83468b. ¿Te ayudo con algo más?",4,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?",4
¿Entregan un reporte por cada sesión para poder reembolsar a la Isapre?,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios puede te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?","¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Si necesitas detalles específicos para facilitar tu reembolso, contáctanos directamente a https://walink.co/83468b. ¿Te ayudo con algo más? 📝",4,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?",4
¿Entregan un reporte por cada sesión para poder reembolsar a la Isapre?,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios puede te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?","¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Si necesitas detalles sobre las sesiones, contáctanos a https://walink.co/83468b. 📝 ¿Te ayudo con algo más?",4,"¡Hola! 😊 No entregamos un reporte por sesión, pero nuestra boleta de servicios te permite reembolsar. Cuentanos si necesitas detallar el tipo de sesiones realizadas para facilitar tu reembolso con la Isapre. Contactanos directamente a https://walink.co/83468b para poder ayudarte mejor 📝 ¿Te ayudo con algo más?",4
¿Consulta y a todas las personas de la clase se les hace los mismos ejercicios? O cómo funcionan??,"Todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada uno.","¡Hola! 😊 Todos nuestros profes son kinesiólogos 💪, por lo que adaptamos las rutinas a la realidad de cada uno. Las clases son semi personalizadas, lo que permite ajustar los ejercicios según tus necesidades. ¿Te gustaría agendar una clase de prueba?",5,"¡Hola! 😊 No todas las personas de la clase hacen los mismos ejercicios. Todos nuestros profes son kinesiólogos 💪, por lo que podemos adaptar las rutinas a la realidad de cada alumno. Así aseguramos que todos trabajen de acuerdo a su nivel y objetivos. ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24 ¿Necesitas más información?",5
